Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,145.045892,-87.879953,45.0,bottom
C2,100nF,C_0402_1005Metric,141.2786,-94.4503,0.0,bottom
C3,100nF,C_0402_1005Metric,146.588976,-102.086473,270.0,bottom
C4,100nF,C_0402_1005Metric,155.299544,-93.318648,180.0,bottom
C5,100nF,C_0402_1005Metric,155.293675,-94.306283,180.0,bottom
C6,10uF,C_0402_1005Metric,155.26125,-95.25,180.0,bottom
C7,100nF,C_0402_1005Metric,147.567809,-102.092552,270.0,bottom
C8,1uF,C_0402_1005Metric,149.2156,-58.7337,270.0,bottom
C9,1uF,C_0402_1005Metric,153.9781,-58.7337,270.0,bottom
D1,D_Small,D_SOD-123F,41.275,-50.8,90.0,bottom
D10,D_Small,D_SOD-123F,216.69375,-50.8,90.0,bottom
D11,D_Small,D_SOD-123F,235.74375,-50.8,90.0,bottom
D12,D_Small,D_SOD-123F,242.09375,-50.8,90.0,bottom
D13,D_Small,D_SOD-123F,40.48125,-69.85,90.0,bottom
D14,D_Small,D_SOD-123F,59.38125,-69.85,90.0,bottom
D15,D_Small,D_SOD-123F,78.58125,-69.85,90.0,bottom
D16,D_Small,D_SOD-123F,97.63125,-69.85,90.0,bottom
D17,D_Small,D_SOD-123F,116.68125,-69.85,90.0,bottom
D18,D_Small,D_SOD-123F,135.73125,-69.85,90.0,bottom
D19,D_Small,D_SOD-123F,154.78125,-69.85,90.0,bottom
D2,D_Small,D_SOD-123F,64.29375,-50.8,90.0,bottom
D20,D_Small,D_SOD-123F,173.83125,-69.85,90.0,bottom
D21,D_Small,D_SOD-123F,192.88125,-69.85,90.0,bottom
D22,D_Small,D_SOD-123F,211.93125,-69.85,90.0,bottom
D23,D_Small,D_SOD-123F,230.98125,-69.8818,90.0,bottom
D24,D_Small,D_SOD-123F,254.79375,-69.85,90.0,bottom
D25,D_Small,D_SOD-123F,42.86255,-88.9,90.0,bottom
D26,D_Small,D_SOD-123F,64.29375,-88.9,90.0,bottom
D27,D_Small,D_SOD-123F,83.34375,-88.9,90.0,bottom
D28,D_Small,D_SOD-123F,102.39375,-88.9,90.0,bottom
D29,D_Small,D_SOD-123F,121.44375,-88.9,90.0,bottom
D3,D_Small,D_SOD-123F,83.34375,-50.8,90.0,bottom
D30,D_Small,D_SOD-123F,140.49375,-88.9,90.0,bottom
D31,D_Small,D_SOD-123F,159.54375,-88.9,90.0,bottom
D32,D_Small,D_SOD-123F,178.59375,-88.9,90.0,bottom
D33,D_Small,D_SOD-123F,197.64375,-88.9,90.0,bottom
D34,D_Small,D_SOD-123F,216.69375,-88.9,90.0,bottom
D35,D_Small,D_SOD-123F,235.74375,-88.9,90.0,bottom
D36,D_Small,D_SOD-123F,257.175,-88.9,90.0,bottom
D37,D_Small,D_SOD-123F,45.24375,-107.95,90.0,bottom
D38,D_Small,D_SOD-123F,69.05625,-107.95,90.0,bottom
D39,D_Small,D_SOD-123F,88.10625,-107.95,90.0,bottom
D4,D_Small,D_SOD-123F,102.39375,-50.8,90.0,bottom
D40,D_Small,D_SOD-123F,107.15625,-107.95,90.0,bottom
D41,D_Small,D_SOD-123F,126.20625,-107.95,90.0,bottom
D42,D_Small,D_SOD-123F,145.25625,-107.95,90.0,bottom
D43,D_Small,D_SOD-123F,164.30625,-107.95,90.0,bottom
D44,D_Small,D_SOD-123F,183.35625,-107.95,90.0,bottom
D45,D_Small,D_SOD-123F,202.40625,-107.95,90.0,bottom
D46,D_Small,D_SOD-123F,221.45625,-107.95,90.0,bottom
D47,D_Small,D_SOD-123F,240.50625,-107.95,90.0,bottom
D48,D_Small,D_SOD-123F,259.55625,-107.95,90.0,bottom
D49,D_Small,D_SOD-123F,42.89325,-127.0,90.0,bottom
D5,D_Small,D_SOD-123F,121.44375,-50.8,90.0,bottom
D50,D_Small,D_SOD-123F,64.09325,-127.0,90.0,bottom
D51,D_Small,D_SOD-123F,85.69325,-127.0,90.0,bottom
D52,D_Small,D_SOD-123F,123.82505,-127.0,90.0,bottom
D53,D_Small,D_SOD-123F,154.78125,-127.0,90.0,bottom
D54,D_Small,D_SOD-123F,171.45005,-127.0,90.0,bottom
D55,D_Small,D_SOD-123F,202.40625,-127.0,90.0,bottom
D56,D_Small,D_SOD-123F,221.45625,-127.0,90.0,bottom
D57,D_Small,D_SOD-123F,240.50625,-127.0,90.0,bottom
D58,D_Small,D_SOD-123F,259.55625,-127.0,90.0,bottom
D6,D_Small,D_SOD-123F,125.4125,-50.8,270.0,bottom
D7,D_Small,D_SOD-123F,155.5115,-46.4185,270.0,bottom
D8,D_Small,D_SOD-123F,178.59375,-50.8,90.0,bottom
D9,D_Small,D_SOD-123F,197.64375,-50.8,90.0,bottom
D_PWR1,SMF9.0CA,D_SOD-123,146.84375,-58.7375,90.0,bottom
F1,500mA,Fuse_1206_3216Metric,142.6845,-59.53125,180.0,bottom
J3,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,142.8125,-43.0525,180.0,bottom
R1,10k,R_0402_1005Metric,157.90014,-93.713487,270.0,bottom
R2,5k1,R_0402_1005Metric,141.2875,-47.90875,270.0,bottom
R3,5k1,R_0402_1005Metric,144.4625,-47.90875,270.0,bottom
SW3,SKQGABE010,SW_Push_SPST_NO_Alps_SKRK,161.9148,-93.6566,0.0,bottom
U2,STM32F072C8Tx,LQFP-48_7x7mm_P0.5mm,148.43125,-94.45625,45.0,bottom
U3,XC6206PxxxMR-Regulator_Linear,SOT-23,151.59685,-58.7337,0.0,bottom
U4,USBLC6-2SC6,SOT-23-6,142.6845,-56.0705,90.0,bottom
